year,diploma_course,enrolment
2005,Business & Administration,322
2005,Business & Administration,277
2005,Design & Applied Arts,1767
2005,Design & Applied Arts,1052
2005,Fine & Performing Arts,1128
2005,Fine & Performing Arts,717
2005,Media Production,144
2005,Media Production,45
2006,Business & Administration,378
2006,Business & Administration,321
2006,Design & Applied Arts,1933
2006,Design & Applied Arts,1155
2006,Fine & Performing Arts,787
2006,Fine & Performing Arts,513
2006,Media Production,159
2006,Media Production,51
2007,Business & Administration,372
2007,Business & Administration,305
2007,Design & Applied Arts,2086
2007,Design & Applied Arts,1285
2007,Fine & Performing Arts,733
2007,Fine & Performing Arts,486
2007,Media Production,153
2007,Media Production,63
2008,Business & Administration,374
2008,Business & Administration,307
2008,Design & Applied Arts,2209
2008,Design & Applied Arts,1428
2008,Fine & Performing Arts,680
2008,Fine & Performing Arts,448
2008,Media Production,194
2008,Media Production,83
2009,Business & Administration,390
2009,Business & Administration,325
2009,Design & Applied Arts,2033
2009,Design & Applied Arts,1336
2009,Fine & Performing Arts,846
2009,Fine & Performing Arts,559
2009,Media Production,162
2009,Media Production,83
2010,Business & Administration,410
2010,Business & Administration,330
2010,Design & Applied Arts,2044
2010,Design & Applied Arts,1360
2010,Fine & Performing Arts,911
2010,Fine & Performing Arts,572
2010,Media Production,156
2010,Media Production,58
2011,Business & Administration,407
2011,Business & Administration,331
2011,Design & Applied Arts,1864
2011,Design & Applied Arts,1236
2011,Fine & Performing Arts,922
2011,Fine & Performing Arts,581
2011,Media Production,141
2011,Media Production,61
2012,Business & Administration,425
2012,Business & Administration,338
2012,Design & Applied Arts,1724
2012,Design & Applied Arts,1132
2012,Fine & Performing Arts,919
2012,Fine & Performing Arts,603
2012,Media Production,98
2012,Media Production,38
2013,Business & Administration,363
2013,Business & Administration,276
2013,Design & Applied Arts,1937
2013,Design & Applied Arts,1304
2013,Fine & Performing Arts,899
2013,Fine & Performing Arts,571
2013,Media Production,91
2013,Media Production,37
2014,Business & Administration,352
2014,Business & Administration,269
2014,Design & Applied Arts,1851
2014,Design & Applied Arts,1288
2014,Fine & Performing Arts,918
2014,Fine & Performing Arts,600
2014,Media Production,91
2014,Media Production,56
2015,Business & Administration,213
2015,Business & Administration,162
2015,Design & Applied Arts,1891
2015,Design & Applied Arts,1327
2015,Fine & Performing Arts,1028
2015,Fine & Performing Arts,686
2015,Media Production,147
2015,Media Production,73
2016,Business & Administration,217
2016,Business & Administration,165
2016,Design & Applied Arts,1990
2016,Design & Applied Arts,1445
2016,Fine & Performing Arts,1137
2016,Fine & Performing Arts,775
2016,Media Production,196
2016,Media Production,101
2017,Business & Administration,216
2017,Business & Administration,159
2017,Design & Applied Arts,2166
2017,Design & Applied Arts,1574
2017,Fine & Performing Arts,1153
2017,Fine & Performing Arts,765
2017,Media Production,243
2017,Media Production,115
2018,Business & Administration,212
2018,Business & Administration,156
2018,Design & Applied Arts,2200
2018,Design & Applied Arts,1632
2018,Fine & Performing Arts,1090
2018,Fine & Performing Arts,718
2018,Media Production,276
2018,Media Production,121
2019,Business & Administration,222
2019,Business & Administration,161
2019,Design & Applied Arts,2108
2019,Design & Applied Arts,1569
2019,Fine & Performing Arts,1036
2019,Fine & Performing Arts,690
2019,Media Production,288
2019,Media Production,130
2020,Business & Administration,200
2020,Business & Administration,156
2020,Design & Applied Arts,2034
2020,Design & Applied Arts,1456
2020,Fine & Performing Arts,1034
2020,Fine & Performing Arts,709
2020,Media Production,275
2020,Media Production,132
